title,abstract,keywords,year,cleaned,is_empty
"Appearance-Preserved Portrait-to-Anime Translation via Proxy-Guided
Domain Adaptation","Converting a human portrait to anime style is a desirable but
challenging problem. Existing methods fail to resolve this problem due
to the large inherent gap between two domains that cannot be overcome by
a simple direct mapping. For this reason, these methods struggle to
preserve the appearance features in the original photo. In this article,
we discover an intermediate domain, the coser portrait (portraits of
humans costuming as anime characters), that helps bridge this gap. It
alleviates the learning ambiguity and loosens the mapping difficulty in
a progressive manner. Specifically, we start from learning the mapping
between coser and anime portraits, and present a proxy-guided domain
adaptation learning scheme with three progressive adaptation stages to
shift the initial model to the human portrait domain. In this way, our
model can generate visually pleasant anime portraits with well-preserved
appearances given the human portrait. Our model adopts a disentangled
design by breaking down the translation problem into two specific
subtasks of face deformation and portrait stylization. This further
elevates the generation quality. Extensive experimental results show
that our model can achieve visually compelling translation with better
appearance preservation and perform favorably against the existing
methods both qualitatively and quantitatively. Our code and datasets are
available at https://github.com/NeverGiveU/PDA-Translation.","Adaptation models; Training; Strain; Shape; Semantics; Faces; Deformable
models; Portrait-to-anime translation; coser portrait proxy; domain
adaptation",2024,"Appearance-Preserved Portrait-to-Anime Translation via Proxy-Guided
Domain Adaptation Converting a human portrait to anime style is a desirable but
challenging problem. Existing methods fail to resolve this problem due
to the large inherent gap between two domains that cannot be overcome by
a simple direct mapping. For this reason, these methods struggle to
preserve the appearance features in the original photo. In this article,
we discover an intermediate domain, the coser portrait (portraits of
humans costuming as anime characters), that helps bridge this gap. It
alleviates the learning ambiguity and loosens the mapping difficulty in
a progressive manner. Specifically, we start from learning the mapping
between coser and anime portraits, and present a proxy-guided domain
adaptation learning scheme with three progressive adaptation stages to
shift the initial model to the human portrait domain. In this way, our
model can generate visually pleasant anime portraits with well-preserved
appearances given the human portrait. Our model adopts a disentangled
design by breaking down the translation problem into two specific
subtasks of face deformation and portrait stylization. This further
elevates the generation quality. Extensive experimental results show
that our model can achieve visually compelling translation with better
appearance preservation and perform favorably against the existing
methods both qualitatively and quantitatively. Our code and datasets are
available at https://github.com/NeverGiveU/PDA-Translation. Adaptation models; Training; Strain; Shape; Semantics; Faces; Deformable
models; Portrait-to-anime translation; coser portrait proxy; domain
adaptation",False
"Realistic real-time processing of anime portraits based on generative
adversarial networks","Nowadays, more and more brands use interesting anime characters to
promote and increase brand awareness. However, real-time and interesting
promotional materials are also one of the key factors to attract people,
so real-time processing of anime characters has also become an effective
way to enhance brand awareness. In recent years, with the rapid
development of deep learning, image style conversion based on AI
technology has become a much-attended artificial intelligence
application, but it also suffers from the disadvantages of complex model
structure, slow conversion speed, and inconspicuous identity features,
which need to be improved. In view of this, this study proposes an anime
portrait realization (ARF-GAN) algorithm based on generative adversarial
network. This algorithm is based on the Pix2Pix architecture and also
uses the U-net network structure with jump connections to connect the
encoder's feature maps directly to the decoder, which in turn enables
the network to reconstruct the output data in a better way and the
network architecture is more lightweight.This algorithm is based on the
Pix2Pix architecture and also uses the U-net network structure with jump
connections to connect the encoder's feature maps directly to the
decoder, which in turn enables the network to reconstruct the output
data in a better way and the network architecture is more lightweight.
It also introduces the CBAM module, which can enhance the model's
expressive and generative capabilities without increasing the model's
complexity, and improve the model's real-time image processing
capability. In addition, this paper also compensates for the problem of
image blurring brought by the original architecture by introducing the
deblurring module. The experimental results on CartoonFaceAB, DanBooru
show that the proposed ARF-GAN has a better generative effect for the
task of realizing anime portraits. And comparing with different types of
image generating models, it shows better accuracy and lower complexity
by using several evaluation indexes such as PSNR and SSIM. This makes it
more suitable for brand advertisement promotion, so it has good
application value for improving brand awareness.",Generative adversarial networks; Real-time; Image processing,2024,"Realistic real-time processing of anime portraits based on generative
adversarial networks Nowadays, more and more brands use interesting anime characters to
promote and increase brand awareness. However, real-time and interesting
promotional materials are also one of the key factors to attract people,
so real-time processing of anime characters has also become an effective
way to enhance brand awareness. In recent years, with the rapid
development of deep learning, image style conversion based on AI
technology has become a much-attended artificial intelligence
application, but it also suffers from the disadvantages of complex model
structure, slow conversion speed, and inconspicuous identity features,
which need to be improved. In view of this, this study proposes an anime
portrait realization (ARF-GAN) algorithm based on generative adversarial
network. This algorithm is based on the Pix2Pix architecture and also
uses the U-net network structure with jump connections to connect the
encoder's feature maps directly to the decoder, which in turn enables
the network to reconstruct the output data in a better way and the
network architecture is more lightweight.This algorithm is based on the
Pix2Pix architecture and also uses the U-net network structure with jump
connections to connect the encoder's feature maps directly to the
decoder, which in turn enables the network to reconstruct the output
data in a better way and the network architecture is more lightweight.
It also introduces the CBAM module, which can enhance the model's
expressive and generative capabilities without increasing the model's
complexity, and improve the model's real-time image processing
capability. In addition, this paper also compensates for the problem of
image blurring brought by the original architecture by introducing the
deblurring module. The experimental results on CartoonFaceAB, DanBooru
show that the proposed ARF-GAN has a better generative effect for the
task of realizing anime portraits. And comparing with different types of
image generating models, it shows better accuracy and lower complexity
by using several evaluation indexes such as PSNR and SSIM. This makes it
more suitable for brand advertisement promotion, so it has good
application value for improving brand awareness. Generative adversarial networks; Real-time; Image processing",False
"AnimeDL-2M: Million-Scale AI-Generated Anime Image Detection and
Localization in Diffusion Era","Recent advances in image generation, particularly diffusion models, have
significantly lowered the barrier for creating sophisticated forgeries,
making image manipulation detection and localization (IMDL) increasingly
challenging. While prior work in IMDL has focused largely on natural
images, the anime domain remains underexplored-despite its growing
vulnerability to AI-generated forgeries. Misrepresentations of
AI-generated images as hand-drawn artwork, copyright violations, and
inappropriate content modifications pose serious threats to the anime
community and industry. To address this gap, we propose AnimeDL-2M, the
first large-scale benchmark for anime IMDL with comprehensive
annotations. which comprises over two million images including real,
partially manipulated, and fully AI-generated samples. Experiments
indicate that models trained on existing IMDL datasets of natural images
perform poorly when applied to anime images, highlighting a clear domain
gap between anime and natural images. To better handle IMDL tasks in
anime domain, we further propose AniXplore, a novel model tailored to
the visual characteristics of anime imagery. Extensive evaluations
demonstrate that AniXplore achieves superior performance compared to
existing methods. Dataset and code can be found in
https://github.com/AnimeDL-2M/AnimeDL-2M.","Image Manipulation Detection and Localization; Generative AI; Synthetic
Anime Dataset and Benchmark; Copyright Protection",2025,"AnimeDL-2M: Million-Scale AI-Generated Anime Image Detection and
Localization in Diffusion Era Recent advances in image generation, particularly diffusion models, have
significantly lowered the barrier for creating sophisticated forgeries,
making image manipulation detection and localization (IMDL) increasingly
challenging. While prior work in IMDL has focused largely on natural
images, the anime domain remains underexplored-despite its growing
vulnerability to AI-generated forgeries. Misrepresentations of
AI-generated images as hand-drawn artwork, copyright violations, and
inappropriate content modifications pose serious threats to the anime
community and industry. To address this gap, we propose AnimeDL-2M, the
first large-scale benchmark for anime IMDL with comprehensive
annotations. which comprises over two million images including real,
partially manipulated, and fully AI-generated samples. Experiments
indicate that models trained on existing IMDL datasets of natural images
perform poorly when applied to anime images, highlighting a clear domain
gap between anime and natural images. To better handle IMDL tasks in
anime domain, we further propose AniXplore, a novel model tailored to
the visual characteristics of anime imagery. Extensive evaluations
demonstrate that AniXplore achieves superior performance compared to
existing methods. Dataset and code can be found in
https://github.com/AnimeDL-2M/AnimeDL-2M. Image Manipulation Detection and Localization; Generative AI; Synthetic
Anime Dataset and Benchmark; Copyright Protection",False
Stim culture: Outlining anime's appeal to the autistic community,"This article explores how anime contributes to the creation of a culture
that attracts autistic individuals and supports their lives. We identify
three aspects that may explain why it becomes a special interest that is
both deeply personal and widely shared: visual tactility, or animation
stimming; layers, or moving through estranged worlds; and unmasking, or
emerging neurocultures and languages. Tentatively presenting anime as
`stim culture,' we uncover new directions in autism and fan culture
research.","Japanese popular culture; neurodiversity; autism; disability; inclusion;
media; fan cultures; subculture; anime",2025,"Stim culture: Outlining anime's appeal to the autistic community This article explores how anime contributes to the creation of a culture
that attracts autistic individuals and supports their lives. We identify
three aspects that may explain why it becomes a special interest that is
both deeply personal and widely shared: visual tactility, or animation
stimming; layers, or moving through estranged worlds; and unmasking, or
emerging neurocultures and languages. Tentatively presenting anime as
`stim culture,' we uncover new directions in autism and fan culture
research. Japanese popular culture; neurodiversity; autism; disability; inclusion;
media; fan cultures; subculture; anime",False
"The Correlation between the MBTI-Based Personality Analysis of Anime
Characters and Their Popularity","Anime has become a global phenomenon due to its diverse cultural
representations, relatable characters, and unique storytelling. However,
there is limited research on the relationship between character
personality and popularity. The aim of this study is to understand the
relevance of the characters' personalities to the audience's evaluation
of various characters. This study analyzed the correlation between the
MBTI personality evaluations of characters in anime and their
popularity, based on the data of the personality of each animation
character reviewed by audiences. In this study, 885 characters from 200
anime aimed at a male audience were selected as a sample for research.
The results showed that personality traits such as introversion,
intuition, and thinking had an impact on the popularity of female
characters but not male characters. The overall results were influenced
by the larger sample size of female characters. By addressing this
question, the study can contribute to the design of a character's
personality and overall success in anime.","animation; Myers-Briggs Type Indicator (MBTI); character personality;
popularity",2024,"The Correlation between the MBTI-Based Personality Analysis of Anime
Characters and Their Popularity Anime has become a global phenomenon due to its diverse cultural
representations, relatable characters, and unique storytelling. However,
there is limited research on the relationship between character
personality and popularity. The aim of this study is to understand the
relevance of the characters' personalities to the audience's evaluation
of various characters. This study analyzed the correlation between the
MBTI personality evaluations of characters in anime and their
popularity, based on the data of the personality of each animation
character reviewed by audiences. In this study, 885 characters from 200
anime aimed at a male audience were selected as a sample for research.
The results showed that personality traits such as introversion,
intuition, and thinking had an impact on the popularity of female
characters but not male characters. The overall results were influenced
by the larger sample size of female characters. By addressing this
question, the study can contribute to the design of a character's
personality and overall success in anime. animation; Myers-Briggs Type Indicator (MBTI); character personality;
popularity",False
"Performance Comparison between Generative Adversarial Networks (GAN)
Variants in Generating Anime/Comic Character Images - A Preliminary
Result","In recent years, the popularity and demand for digital animation,
specifically anime characters, has brought significant challenges and
opportunities for the world of computer graphics and artificial
intelligence. This research dives deep into the comprehensive
exploration of two well-known Generative Adversarial Networks (GANs)-
Deep Convolutional Generative Adversarial Network (DCGAN) and CycleGAN,
- with a specific focus on anime character generation. GANs, consisting
of a generator and discriminator, operate in a feedback loop to create
and evaluate synthetic data. This research will identify challenges
within each GAN model and develop objectives to address these
challenges. Both of GAN models were mainly executed in the Google Colab
environment to optimize the GPU-accelerated runtime. The dataset is
sourced from publicly accessible anime image repositories and both GAN
models will be evaluated using Frechet Inception Distance (FID) and
Inception Score (IS). FID compares the distribution of generated images
with the distribution of a set of real images ({''}ground truth{''})
while IS only evaluates the distribution of generated images. Together,
they provide a comprehensive evaluation of a GAN's performance. In the
realm of anime character generation, achieving authenticity and
diversity is crucial.",GAN; FID; IS; DCGAN; CycleGAN,2024,"Performance Comparison between Generative Adversarial Networks (GAN)
Variants in Generating Anime/Comic Character Images - A Preliminary
Result In recent years, the popularity and demand for digital animation,
specifically anime characters, has brought significant challenges and
opportunities for the world of computer graphics and artificial
intelligence. This research dives deep into the comprehensive
exploration of two well-known Generative Adversarial Networks (GANs)-
Deep Convolutional Generative Adversarial Network (DCGAN) and CycleGAN,
- with a specific focus on anime character generation. GANs, consisting
of a generator and discriminator, operate in a feedback loop to create
and evaluate synthetic data. This research will identify challenges
within each GAN model and develop objectives to address these
challenges. Both of GAN models were mainly executed in the Google Colab
environment to optimize the GPU-accelerated runtime. The dataset is
sourced from publicly accessible anime image repositories and both GAN
models will be evaluated using Frechet Inception Distance (FID) and
Inception Score (IS). FID compares the distribution of generated images
with the distribution of a set of real images ({''}ground truth{''})
while IS only evaluates the distribution of generated images. Together,
they provide a comprehensive evaluation of a GAN's performance. In the
realm of anime character generation, achieving authenticity and
diversity is crucial. GAN; FID; IS; DCGAN; CycleGAN",False
"Anime watching: is a new kind of addiction? Evaluation of
psychopathologies and psychosocial factors associated with problematic
anime watching among adolescents","BackgroundIn recent years, with the rapid development of technology,
research on behavioral addiction concepts such as digital gaming
disorders and problematic internet use has increased. As anime-watching
has become widespread worldwide, it is thought that this behavior may be
one of the areas of problematic technology use, especially in
adolescence. However, studies evaluating problematic anime-watching
behaviors within the framework of behavioral addictions are quite
limited in the literature. In this study, problematic anime-watching
behaviors, comorbid psychiatric disorders, and possible psychosocial
factors were evaluated in 86 anime watchers aged between 12 and 18
years. Problematic anime-watching behaviors were evaluated according to
the diagnostic criteria of other defined disorders related to addictive
behaviors in ICD-11. A semi-structured interview tool was used to assess
psychiatric comorbidities, and the IGDS9-SF adapted form for
anime-watching, the Self-Efficacy Scale for Children, KIDCOPE, and the
Social Anxiety Scale for Adolescents were used to collect other
data.ResultsIt was determined that 36.8\% of the 86 adolescents in our
study had problematic anime-watching behavior. Compared to other
adolescents, the problematic anime-watching group had significantly
lower self-efficacy scores and significantly higher social anxiety and
avoidant coping scores. A significant relationship was found between
social anxiety disorder and watching problematic anime.ConclusionsThe
present study showed that problematic watching of anime may be a variant
of behavioral addiction. In conclusion, the relationship between
problematic anime-watching behaviors and mental health warrants further
examination.","Problematic anime watching; Psychiatric disorders; Behavioral addiction;
Adolescent; Anxiety",2024,"Anime watching: is a new kind of addiction? Evaluation of
psychopathologies and psychosocial factors associated with problematic
anime watching among adolescents BackgroundIn recent years, with the rapid development of technology,
research on behavioral addiction concepts such as digital gaming
disorders and problematic internet use has increased. As anime-watching
has become widespread worldwide, it is thought that this behavior may be
one of the areas of problematic technology use, especially in
adolescence. However, studies evaluating problematic anime-watching
behaviors within the framework of behavioral addictions are quite
limited in the literature. In this study, problematic anime-watching
behaviors, comorbid psychiatric disorders, and possible psychosocial
factors were evaluated in 86 anime watchers aged between 12 and 18
years. Problematic anime-watching behaviors were evaluated according to
the diagnostic criteria of other defined disorders related to addictive
behaviors in ICD-11. A semi-structured interview tool was used to assess
psychiatric comorbidities, and the IGDS9-SF adapted form for
anime-watching, the Self-Efficacy Scale for Children, KIDCOPE, and the
Social Anxiety Scale for Adolescents were used to collect other
data.ResultsIt was determined that 36.8\% of the 86 adolescents in our
study had problematic anime-watching behavior. Compared to other
adolescents, the problematic anime-watching group had significantly
lower self-efficacy scores and significantly higher social anxiety and
avoidant coping scores. A significant relationship was found between
social anxiety disorder and watching problematic anime.ConclusionsThe
present study showed that problematic watching of anime may be a variant
of behavioral addiction. In conclusion, the relationship between
problematic anime-watching behaviors and mental health warrants further
examination. Problematic anime watching; Psychiatric disorders; Behavioral addiction;
Adolescent; Anxiety",False
"Informal learning of Japanese as a foreign language through watching
anime","With the rise of global interest in anime among young adults, several
studies have examined the acquisition of Japanese through watching anime
in formal settings; however, studies focusing on learners with no formal
training in Japanese are scarce. The present study focuses on this
latter population of anime viewers and examines their L2 listening
development and whether it is impacted by years of viewing and anime
genre. This study also investigates the extent to which relevant
vocabulary can be incidentally acquired from watching anime. Native
English-speaking anime viewers in the US, who had never formally studied
Japanese, completed a questionnaire and took the listening comprehension
portion of the Japanese-Language Proficiency Test. They also viewed 12
subtitled episodes of an action/adventure anime series and took
pre-tests and post-tests assessing meaning-recall of 40 relevant target
words. 38\% of the viewers correctly answered at least half of the
questions on the listening test, yet years of viewing and anime genre
appeared to have no significant impact on the listening scores. The
vocabulary post-test also showed significant learning gains. These
findings emphasise the potential benefits of extensive viewing - more
specifically anime viewing - in L2 development, even in the absence of
formal language study.","extensive viewing; incidental vocabulary acquisition; listening
comprehension; informal language learning; Japanese as a foreign
language; anime",2025,"Informal learning of Japanese as a foreign language through watching
anime With the rise of global interest in anime among young adults, several
studies have examined the acquisition of Japanese through watching anime
in formal settings; however, studies focusing on learners with no formal
training in Japanese are scarce. The present study focuses on this
latter population of anime viewers and examines their L2 listening
development and whether it is impacted by years of viewing and anime
genre. This study also investigates the extent to which relevant
vocabulary can be incidentally acquired from watching anime. Native
English-speaking anime viewers in the US, who had never formally studied
Japanese, completed a questionnaire and took the listening comprehension
portion of the Japanese-Language Proficiency Test. They also viewed 12
subtitled episodes of an action/adventure anime series and took
pre-tests and post-tests assessing meaning-recall of 40 relevant target
words. 38\% of the viewers correctly answered at least half of the
questions on the listening test, yet years of viewing and anime genre
appeared to have no significant impact on the listening scores. The
vocabulary post-test also showed significant learning gains. These
findings emphasise the potential benefits of extensive viewing - more
specifically anime viewing - in L2 development, even in the absence of
formal language study. extensive viewing; incidental vocabulary acquisition; listening
comprehension; informal language learning; Japanese as a foreign
language; anime",False
NOVA-3D: Non-overlapped Views for 3D Anime Character Reconstruction,"In the animation industry, 3D modelers typically rely on front and back
non-overlapped concept designs to guide the 3D modeling of anime
characters. However, there is currently a lack of automated approaches
for generating anime characters directly from these 2D designs. In light
of this, we explore a novel task of reconstructing anime characters from
non-overlapped views. This presents two main challenges: existing
multi-view approaches cannot be directly applied due to the absence of
overlapping regions, and there is a scarcity of full-body anime
character data and standard benchmarks. To bridge the gap, we present
Non-Overlapped Views for 3D Anime Character Reconstruction (NOVA-3D), a
new framework that implements a method for view-aware feature fusion to
learn 3D-consistent features effectively and synthesizes full-body anime
characters from non-overlapped front and back views directly. To
facilitate this line of research, we collected the NOVA-Human dataset,
which comprises multi-view images and accurate camera parameters for 3D
anime characters. Extensive experiments demonstrate that the proposed
method outperforms baseline approaches, achieving superior
reconstruction of anime characters with exceptional detail fidelity. In
addition, to further verify the effectiveness of our method, we applied
it to the animation head reconstruction task and improved the
state-of-the-art baseline to 94.453 in SSIM, 7.726 in LPIPS, and 19.575
in PSNR on average. Codes and datasets are available at
https://github.com/NOVA-3D-Anime-Character-Synthesis/NOVA-3D.","Non-overlapped views; Multi-view reconstruction; View-aware feature
fusion",2024,"NOVA-3D: Non-overlapped Views for 3D Anime Character Reconstruction In the animation industry, 3D modelers typically rely on front and back
non-overlapped concept designs to guide the 3D modeling of anime
characters. However, there is currently a lack of automated approaches
for generating anime characters directly from these 2D designs. In light
of this, we explore a novel task of reconstructing anime characters from
non-overlapped views. This presents two main challenges: existing
multi-view approaches cannot be directly applied due to the absence of
overlapping regions, and there is a scarcity of full-body anime
character data and standard benchmarks. To bridge the gap, we present
Non-Overlapped Views for 3D Anime Character Reconstruction (NOVA-3D), a
new framework that implements a method for view-aware feature fusion to
learn 3D-consistent features effectively and synthesizes full-body anime
characters from non-overlapped front and back views directly. To
facilitate this line of research, we collected the NOVA-Human dataset,
which comprises multi-view images and accurate camera parameters for 3D
anime characters. Extensive experiments demonstrate that the proposed
method outperforms baseline approaches, achieving superior
reconstruction of anime characters with exceptional detail fidelity. In
addition, to further verify the effectiveness of our method, we applied
it to the animation head reconstruction task and improved the
state-of-the-art baseline to 94.453 in SSIM, 7.726 in LPIPS, and 19.575
in PSNR on average. Codes and datasets are available at
https://github.com/NOVA-3D-Anime-Character-Synthesis/NOVA-3D. Non-overlapped views; Multi-view reconstruction; View-aware feature
fusion",False
"Influence of anime on character design: A study of Indian animation
students","Animation captivates viewers with its visual storytelling, fostering
creativity, delivering entertainment, and imparting knowledge. It
influences culture, media and education, shaping our perception of the
world. Animation films are popular for their engaging narratives,
well-developed characters and cultural significance. Character design in
animated films can embody a brand's essence, transcend cultural
boundaries and influence behavior. The rising prominence of animation in
global media significantly impacts children's learning and creativity.
Japanese anime, in particular, has gained a strong foothold in various
markets, including India, shaping the animation landscape. This study
explores anime's growing influence on character design among Indian
animation students, assessing their character design process and
awareness of Indian animation. Surveys and interviews with students,
faculty and industry professionals reveal anime's impact on students'
creative projects and the limited awareness of Indian animation. The
study emphasizes the need for further research to understand anime's
influence on students' artistic styles.","animation; anime; character design; creativity; cross-cultural
influence; Indian animation; Indian animators; visual design",2026,"Influence of anime on character design: A study of Indian animation
students Animation captivates viewers with its visual storytelling, fostering
creativity, delivering entertainment, and imparting knowledge. It
influences culture, media and education, shaping our perception of the
world. Animation films are popular for their engaging narratives,
well-developed characters and cultural significance. Character design in
animated films can embody a brand's essence, transcend cultural
boundaries and influence behavior. The rising prominence of animation in
global media significantly impacts children's learning and creativity.
Japanese anime, in particular, has gained a strong foothold in various
markets, including India, shaping the animation landscape. This study
explores anime's growing influence on character design among Indian
animation students, assessing their character design process and
awareness of Indian animation. Surveys and interviews with students,
faculty and industry professionals reveal anime's impact on students'
creative projects and the limited awareness of Indian animation. The
study emphasizes the need for further research to understand anime's
influence on students' artistic styles. animation; anime; character design; creativity; cross-cultural
influence; Indian animation; Indian animators; visual design",False
"Attendees' experiences of anime conventions in the United States: a
netnography study","PurposeGuided by stimulus-organism-response (SOR) theory, this study
analyzed the user-generated content (UGC) produced by attendees from six
anime conventions in the USA.Design/methodology/approachA total of 739
online reviews and 1,932 photos were collected from the social platforms
of six large anime conventions in the USA (Yelp and Facebook), and the
study employed thematic analysis and image analysis to analyze the
collected UGCs.FindingsThe findings revealed eight main themes (i.e.
ambient and space, customers, service and products, sign and symbol,
social density, emotional status, motivation, and behavior intention)
and 32 subthemes across the three dimensions of SOR theory. Leveraging
the power of cutting-edge image analysis, the image labels obtained from
the analysis contributed to the creation of network clusters. The result
of the image analysis also continued consistently with the thematic
analysis result, which reflected SOR theory.Research
limitations/implicationsTheoretically, the study applied SOR theory and
blended thematic and image analyses to gain a comprehensive
understanding of anime convention attendees' experience and categorized
the attendees' emotional status as positive or negative to reflect their
overall evaluation. Practically, this study highlighted some complaints
from attendees and provided suggestions for operators. However, the
study focused only on large anime conventions in the USA; future studies
should compare attendees' experiences with small and large conventions
or anime conventions worldwide.Originality/valueThe study utilized UGCs
to understand the key patterns essential to attendees during anime
conventions in the USA and applied SOR theory to its investigation.","Netnography; Thematic analysis; Image analysis; User-generated content
(UGC); Stimulus-organism-response (SOR) theory; Event experience",2024,"Attendees' experiences of anime conventions in the United States: a
netnography study PurposeGuided by stimulus-organism-response (SOR) theory, this study
analyzed the user-generated content (UGC) produced by attendees from six
anime conventions in the USA.Design/methodology/approachA total of 739
online reviews and 1,932 photos were collected from the social platforms
of six large anime conventions in the USA (Yelp and Facebook), and the
study employed thematic analysis and image analysis to analyze the
collected UGCs.FindingsThe findings revealed eight main themes (i.e.
ambient and space, customers, service and products, sign and symbol,
social density, emotional status, motivation, and behavior intention)
and 32 subthemes across the three dimensions of SOR theory. Leveraging
the power of cutting-edge image analysis, the image labels obtained from
the analysis contributed to the creation of network clusters. The result
of the image analysis also continued consistently with the thematic
analysis result, which reflected SOR theory.Research
limitations/implicationsTheoretically, the study applied SOR theory and
blended thematic and image analyses to gain a comprehensive
understanding of anime convention attendees' experience and categorized
the attendees' emotional status as positive or negative to reflect their
overall evaluation. Practically, this study highlighted some complaints
from attendees and provided suggestions for operators. However, the
study focused only on large anime conventions in the USA; future studies
should compare attendees' experiences with small and large conventions
or anime conventions worldwide.Originality/valueThe study utilized UGCs
to understand the key patterns essential to attendees during anime
conventions in the USA and applied SOR theory to its investigation. Netnography; Thematic analysis; Image analysis; User-generated content
(UGC); Stimulus-organism-response (SOR) theory; Event experience",False
"Disasters and gender in Japanese anime films: Makoto Shinkai's Your
Name and Weathering with You","Purpose - This article focuses on the representations of natural
hazards, disasters, gender roles and norms in Makoto Shinkai's
disaster-themed anime films Your Name (2016) and Weathering with You
(2019). Design/methodology/approachThis article commences with a
literature review on disasters, disaster films, gender in disasters and
gender in disaster films; then, this article thoroughly investigates the
portrayal of disasters and gender in the two films, drawing data from
their narratives and plots. Findings - This article finds that the two
films' depictions of disasters and gender adhere to the traditional
patterns observed in Hollywood and Japanese disaster films. The natural
hazards and disasters in the two films reflect real-world disasters that
occurred in Japan's recent decades, especially the 3.11 Tohoku
earthquake in 2011. Traditional gender figures and prevalent
heterosexual expectations in Japanese culture and society deeply
influence the two films' portrayal of gender roles and norms.
Originality/value - Numerous academic works explored Hollywood disaster
films, their representations of gender roles and norms in disaster
themes. However, few focus on recent Japanese anime films such as Your
Name and Weathering with You. This article aims to fill this gap.",Natural hazards; Disaster; Gender; Anime film; Japan,2024,"Disasters and gender in Japanese anime films: Makoto Shinkai's Your
Name and Weathering with You Purpose - This article focuses on the representations of natural
hazards, disasters, gender roles and norms in Makoto Shinkai's
disaster-themed anime films Your Name (2016) and Weathering with You
(2019). Design/methodology/approachThis article commences with a
literature review on disasters, disaster films, gender in disasters and
gender in disaster films; then, this article thoroughly investigates the
portrayal of disasters and gender in the two films, drawing data from
their narratives and plots. Findings - This article finds that the two
films' depictions of disasters and gender adhere to the traditional
patterns observed in Hollywood and Japanese disaster films. The natural
hazards and disasters in the two films reflect real-world disasters that
occurred in Japan's recent decades, especially the 3.11 Tohoku
earthquake in 2011. Traditional gender figures and prevalent
heterosexual expectations in Japanese culture and society deeply
influence the two films' portrayal of gender roles and norms.
Originality/value - Numerous academic works explored Hollywood disaster
films, their representations of gender roles and norms in disaster
themes. However, few focus on recent Japanese anime films such as Your
Name and Weathering with You. This article aims to fill this gap. Natural hazards; Disaster; Gender; Anime film; Japan",False
"An Improved Deep Convolutional Generative Adversarial Network for
Anime-style Character Image Painting","The application of Deep Convolutional Generative Adversarial Networks
(DCGANs) has gained significant popularity in the domain of anime-style
image painting. However, the model often suffers from the imbalanced
training process and other certain limitations, such as the presence of
blurred regions and feature misalignment. In our work, an enhanced DCGAN
is proposed to tackle these challenges. First of all, we introduce a
scoring mechanism in each convolutional layer of the discriminator to
enhance its ability to capture multi-scale features for accurate rating.
From another perspective, we integrate the self-attention mechanism and
modify the sizes of convolutional kernels in the generator, resulting in
greater capacity to generate details. To ensure training stability, we
employ the WGAN-GP loss, which also improves the generation diversity.
Furthermore, in order to provide a fair and thorough evaluation of the
generated outputs, we employ a comprehensive human-machine scoring
method to evaluate the outcomes. The experimental results demonstrate
that our improved DCGAN exhibits stronger feature extraction
capabilities and effectively enhances the quality of generated images.","Deep Convolution Generative Adversarial Networks; anime-style image
painting; comprehensive rating; self-attention mechanism",2024,"An Improved Deep Convolutional Generative Adversarial Network for
Anime-style Character Image Painting The application of Deep Convolutional Generative Adversarial Networks
(DCGANs) has gained significant popularity in the domain of anime-style
image painting. However, the model often suffers from the imbalanced
training process and other certain limitations, such as the presence of
blurred regions and feature misalignment. In our work, an enhanced DCGAN
is proposed to tackle these challenges. First of all, we introduce a
scoring mechanism in each convolutional layer of the discriminator to
enhance its ability to capture multi-scale features for accurate rating.
From another perspective, we integrate the self-attention mechanism and
modify the sizes of convolutional kernels in the generator, resulting in
greater capacity to generate details. To ensure training stability, we
employ the WGAN-GP loss, which also improves the generation diversity.
Furthermore, in order to provide a fair and thorough evaluation of the
generated outputs, we employ a comprehensive human-machine scoring
method to evaluate the outcomes. The experimental results demonstrate
that our improved DCGAN exhibits stronger feature extraction
capabilities and effectively enhances the quality of generated images. Deep Convolution Generative Adversarial Networks; anime-style image
painting; comprehensive rating; self-attention mechanism",False
